"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051646","BP","GO:0051646","mitochondrion localization","2/479","56/28891",0.237683227453942,0.430858802432763,0.355822631020639,"17755/66725",2
"GO:0051954","BP","GO:0051954","positive regulation of amine transport","2/479","56/28891",0.237683227453942,0.430858802432763,0.355822631020639,"18799/105727",2
"GO:0072132","BP","GO:0072132","mesenchyme morphogenesis","2/479","56/28891",0.237683227453942,0.430858802432763,0.355822631020639,"18128/22418",2
"GO:0031623","BP","GO:0031623","receptor internalization","4/479","150/28891",0.238413884934228,0.431808950539169,0.356607306179117,"68420/117148/18195/217835",4
"GO:0034341","BP","GO:0034341","response to type II interferon","4/479","150/28891",0.238413884934228,0.431808950539169,0.356607306179117,"24088/12540/15900/360013",4
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","7/479","303/28891",0.23929259371032,0.43225322714651,0.356974209838581,"63953/12509/13846/17973/12053/320484/12507",7
"GO:0022411","BP","GO:0022411","cellular component disassembly","10/479","462/28891",0.239525561944426,0.43225322714651,0.356974209838581,"13838/75669/208194/54712/80280/18195/17755/271221/100502841/17318",10
"GO:0019935","BP","GO:0019935","cyclic-nucleotide-mediated signaling","3/479","102/28891",0.239589426237592,0.43225322714651,0.356974209838581,"14683/76089/16336",3
"GO:0032418","BP","GO:0032418","lysosome localization","3/479","102/28891",0.239589426237592,0.43225322714651,0.356974209838581,"23854/17886/225642",3
"GO:0034446","BP","GO:0034446","substrate adhesion-dependent cell spreading","3/479","102/28891",0.239589426237592,0.43225322714651,0.356974209838581,"12540/20377/13640",3
"GO:0042632","BP","GO:0042632","cholesterol homeostasis","3/479","102/28891",0.239589426237592,0.43225322714651,0.356974209838581,"102635496/15378/12623",3
"GO:0050779","BP","GO:0050779","RNA destabilization","3/479","102/28891",0.239589426237592,0.43225322714651,0.356974209838581,"12457/636931/70640",3
"GO:0061014","BP","GO:0061014","positive regulation of mRNA catabolic process","3/479","102/28891",0.239589426237592,0.43225322714651,0.356974209838581,"12457/636931/70640",3
"GO:1990849","BP","GO:1990849","vacuolar localization","3/479","102/28891",0.239589426237592,0.43225322714651,0.356974209838581,"23854/17886/225642",3
"GO:0003015","BP","GO:0003015","heart process","6/479","252/28891",0.241550622658458,0.434631212621853,0.358938057492587,"12287/12540/16373/12289/13383/11554",6
"GO:0001662","BP","GO:0001662","behavioral fear response","2/479","57/28891",0.243826183246591,0.434631212621853,0.358938057492587,"58234/225642",2
"GO:0009395","BP","GO:0009395","phospholipid catabolic process","2/479","57/28891",0.243826183246591,0.434631212621853,0.358938057492587,"11758/11813",2
"GO:0044818","BP","GO:0044818","mitotic G2/M transition checkpoint","2/479","57/28891",0.243826183246591,0.434631212621853,0.358938057492587,"15574/80280",2
"GO:0050732","BP","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","2/479","57/28891",0.243826183246591,0.434631212621853,0.358938057492587,"15378/20377",2
"GO:0070988","BP","GO:0070988","demethylation","2/479","57/28891",0.243826183246591,0.434631212621853,0.358938057492587,"214133/72041",2
"GO:0000041","BP","GO:0000041","transition metal ion transport","3/479","103/28891",0.244006291325475,0.434631212621853,0.358938057492587,"70804/67712/213053",3
"GO:0019226","BP","GO:0019226","transmission of nerve impulse","3/479","103/28891",0.244006291325475,0.434631212621853,0.358938057492587,"56508/18810/20273",3
"GO:0044409","BP","GO:0044409","entry into host","3/479","103/28891",0.244006291325475,0.434631212621853,0.358938057492587,"228545/18550/17951",3
"GO:0055092","BP","GO:0055092","sterol homeostasis","3/479","103/28891",0.244006291325475,0.434631212621853,0.358938057492587,"102635496/15378/12623",3
"GO:1900182","BP","GO:1900182","positive regulation of protein localization to nucleus","3/479","103/28891",0.244006291325475,0.434631212621853,0.358938057492587,"13666/80280/12488",3
"GO:0050863","BP","GO:0050863","regulation of T cell activation","9/479","411/28891",0.244660895665999,0.434631212621853,0.358938057492587,"63953/12509/13846/17973/12053/13383/320484/94185/12507",9
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","5/479","202/28891",0.24495247492984,0.434631212621853,0.358938057492587,"22065/16971/216749/207911/12766",5
"GO:0001771","BP","GO:0001771","immunological synapse formation","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"13383",1
"GO:0001921","BP","GO:0001921","positive regulation of receptor recycling","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"18195",1
"GO:0003128","BP","GO:0003128","heart field specification","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"22418",1
"GO:0006570","BP","GO:0006570","tyrosine metabolic process","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"22293",1
"GO:0007000","BP","GO:0007000","nucleolus organization","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"72344",1
"GO:0007028","BP","GO:0007028","cytoplasm organization","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"242726",1
"GO:0007063","BP","GO:0007063","regulation of sister chromatid cohesion","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"226026",1
"GO:0009263","BP","GO:0009263","deoxyribonucleotide biosynthetic process","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"22169",1
"GO:0009265","BP","GO:0009265","2'-deoxyribonucleotide biosynthetic process","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"22169",1
"GO:0010002","BP","GO:0010002","cardioblast differentiation","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"18128",1
"GO:0010524","BP","GO:0010524","positive regulation of calcium ion transport into cytosol","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"22065",1
"GO:0015802","BP","GO:0015802","basic amino acid transport","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"214663",1
"GO:0016264","BP","GO:0016264","gap junction assembly","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"16373",1
"GO:0031280","BP","GO:0031280","negative regulation of cyclase activity","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"14429",1
"GO:0032328","BP","GO:0032328","alanine transport","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"215335",1
"GO:0032401","BP","GO:0032401","establishment of melanosome localization","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"12560",1
"GO:0034134","BP","GO:0034134","toll-like receptor 2 signaling pathway","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"24088",1
"GO:0035112","BP","GO:0035112","genitalia morphogenesis","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"26564",1
"GO:0035881","BP","GO:0035881","amacrine cell differentiation","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"69743",1
"GO:0046112","BP","GO:0046112","nucleobase biosynthetic process","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"231327",1
"GO:0046385","BP","GO:0046385","deoxyribose phosphate biosynthetic process","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"22169",1
"GO:0051904","BP","GO:0051904","pigment granule transport","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"12560",1
"GO:0055089","BP","GO:0055089","fatty acid homeostasis","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"18971",1
"GO:0055091","BP","GO:0055091","phospholipid homeostasis","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"15378",1
"GO:0060148","BP","GO:0060148","positive regulation of post-transcriptional gene silencing","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"636931",1
"GO:0060263","BP","GO:0060263","regulation of respiratory burst","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"63953",1
"GO:0060413","BP","GO:0060413","atrial septum morphogenesis","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"22761",1
"GO:0060766","BP","GO:0060766","negative regulation of androgen receptor signaling pathway","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"20377",1
"GO:0060947","BP","GO:0060947","cardiac vascular smooth muscle cell differentiation","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"18128",1
"GO:0061158","BP","GO:0061158","3'-UTR-mediated mRNA destabilization","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"636931",1
"GO:0061308","BP","GO:0061308","cardiac neural crest cell development involved in heart development","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"12540",1
"GO:0061577","BP","GO:0061577","calcium ion transmembrane transport via high voltage-gated calcium channel","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"12289",1
"GO:0070131","BP","GO:0070131","positive regulation of mitochondrial translation","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"218506",1
"GO:0071025","BP","GO:0071025","RNA surveillance","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"319885",1
"GO:0071498","BP","GO:0071498","cellular response to fluid shear stress","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"18810",1
"GO:0072077","BP","GO:0072077","renal vesicle morphogenesis","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"14260",1
"GO:0072350","BP","GO:0072350","tricarboxylic acid metabolic process","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"75387",1
"GO:0086012","BP","GO:0086012","membrane depolarization during cardiac muscle cell action potential","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"12289",1
"GO:0097531","BP","GO:0097531","mast cell migration","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"217835",1
"GO:0098693","BP","GO:0098693","regulation of synaptic vesicle cycle","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"56508",1
"GO:0098792","BP","GO:0098792","xenophagy","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"24088",1
"GO:1900370","BP","GO:1900370","positive regulation of post-transcriptional gene silencing by RNA","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"636931",1
"GO:1902001","BP","GO:1902001","fatty acid transmembrane transport","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"26457",1
"GO:1902285","BP","GO:1902285","semaphorin-plexin signaling pathway involved in neuron projection guidance","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"54712",1
"GO:1903423","BP","GO:1903423","positive regulation of synaptic vesicle recycling","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"66725",1
"GO:1903541","BP","GO:1903541","regulation of exosomal secretion","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"74772",1
"GO:1903978","BP","GO:1903978","regulation of microglial cell activation","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"66725",1
"GO:2000479","BP","GO:2000479","regulation of cAMP-dependent protein kinase activity","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"76089",1
"GO:2000637","BP","GO:2000637","positive regulation of miRNA-mediated gene silencing","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"636931",1
"GO:2000696","BP","GO:2000696","regulation of epithelial cell differentiation involved in kidney development","1/479","17/28891",0.247455025646253,0.434631212621853,0.358938057492587,"19126",1
"GO:0035967","BP","GO:0035967","cellular response to topologically incorrect protein","3/479","104/28891",0.248436141527746,0.436171261070123,0.36020989895821,"13666/17973/80280",3
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","7/479","307/28891",0.249196750931547,0.437221711129537,0.361077407993156,"12509/19223/15402/11489/22418/21413/12766",7
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","8/479","360/28891",0.249616330079103,0.437221711129537,0.361077407993156,"13838/241324/74772/13666/18550/20660/17951/223453",8
"GO:0002209","BP","GO:0002209","behavioral defense response","2/479","58/28891",0.249975397252684,0.437221711129537,0.361077407993156,"58234/225642",2
"GO:0006110","BP","GO:0006110","regulation of glycolytic process","2/479","58/28891",0.249975397252684,0.437221711129537,0.361077407993156,"108099/74370",2
"GO:0021587","BP","GO:0021587","cerebellum morphogenesis","2/479","58/28891",0.249975397252684,0.437221711129537,0.361077407993156,"19130/11941",2
"GO:0042743","BP","GO:0042743","hydrogen peroxide metabolic process","2/479","58/28891",0.249975397252684,0.437221711129537,0.361077407993156,"11758/17523",2
"GO:0045604","BP","GO:0045604","regulation of epidermal cell differentiation","2/479","58/28891",0.249975397252684,0.437221711129537,0.361077407993156,"18128/19206",2
"GO:0051489","BP","GO:0051489","regulation of filopodium assembly","2/479","58/28891",0.249975397252684,0.437221711129537,0.361077407993156,"228880/12540",2
"GO:0060428","BP","GO:0060428","lung epithelium development","2/479","58/28891",0.249975397252684,0.437221711129537,0.361077407993156,"12540/15402",2
"GO:0034655","BP","GO:0034655","nucleobase-containing compound catabolic process","9/479","414/28891",0.251055493211948,0.438883906361793,0.362450123781883,"12457/22262/319885/636931/208194/22271/268491/18585/70640",9
"GO:0050905","BP","GO:0050905","neuromuscular process","5/479","204/28891",0.251135625998032,0.438883906361793,0.362450123781883,"16498/11941/20840/109934/58234",5
"GO:0046942","BP","GO:0046942","carboxylic acid transport","8/479","362/28891",0.254220401561958,0.442590599932799,0.365511278506762,"100604/58887/26457/12623/215335/216749/214663/105727",8
"GO:0030308","BP","GO:0030308","negative regulation of cell growth","5/479","205/28891",0.254241953734608,0.442590599932799,0.365511278506762,"15378/20377/22418/12053/20562",5
"GO:0001961","BP","GO:0001961","positive regulation of cytokine-mediated signaling pathway","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"16177/22418",2
"GO:0006695","BP","GO:0006695","cholesterol biosynthetic process","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"20280/12623",2
"GO:0007019","BP","GO:0007019","microtubule depolymerization","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"17755/17318",2
"GO:0051155","BP","GO:0051155","positive regulation of striated muscle cell differentiation","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"19130/11554",2
"GO:0097035","BP","GO:0097035","regulation of membrane lipid distribution","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"16534/11982",2
"GO:1900024","BP","GO:1900024","regulation of substrate adhesion-dependent cell spreading","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"12540/13640",2
"GO:1901616","BP","GO:1901616","organic hydroxy compound catabolic process","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"57357/52815",2
"GO:1902653","BP","GO:1902653","secondary alcohol biosynthetic process","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"20280/12623",2
"GO:1990542","BP","GO:1990542","mitochondrial transmembrane transport","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"76137/67712",2
"GO:2000300","BP","GO:2000300","regulation of synaptic vesicle exocytosis","2/479","59/28891",0.256128977681476,0.442590599932799,0.365511278506762,"228545/66725",2
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","8/479","363/28891",0.256532461841785,0.442590599932799,0.365511278506762,"16331/63953/14683/20377/22761/74370/26564/12053",8
"GO:0033045","BP","GO:0033045","regulation of sister chromatid segregation","3/479","106/28891",0.257331565908001,0.442590599932799,0.365511278506762,"329152/12704/67141",3
"GO:0046928","BP","GO:0046928","regulation of neurotransmitter secretion","3/479","106/28891",0.257331565908001,0.442590599932799,0.365511278506762,"12287/228545/66725",3
"GO:0072091","BP","GO:0072091","regulation of stem cell proliferation","3/479","106/28891",0.257331565908001,0.442590599932799,0.365511278506762,"18128/19206/22418",3
"GO:0015849","BP","GO:0015849","organic acid transport","8/479","364/28891",0.25885106106575,0.442590599932799,0.365511278506762,"100604/58887/26457/12623/215335/216749/214663/105727",8
"GO:1901342","BP","GO:1901342","regulation of vasculature development","7/479","311/28891",0.259223969867742,0.442590599932799,0.365511278506762,"12509/19223/15402/11489/22418/21413/12766",7
"GO:0000083","BP","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"194655",1
"GO:0002730","BP","GO:0002730","regulation of dendritic cell cytokine production","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"24088",1
"GO:0006482","BP","GO:0006482","protein demethylation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"72041",1
"GO:0008214","BP","GO:0008214","protein dealkylation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"72041",1
"GO:0014041","BP","GO:0014041","regulation of neuron maturation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"66725",1
"GO:0016093","BP","GO:0016093","polyprenol metabolic process","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"57357",1
"GO:0019430","BP","GO:0019430","removal of superoxide radicals","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"17523",1
"GO:0021702","BP","GO:0021702","cerebellar Purkinje cell differentiation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"11941",1
"GO:0021859","BP","GO:0021859","pyramidal neuron differentiation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"12053",1
"GO:0030540","BP","GO:0030540","female genitalia development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"22418",1
"GO:0030575","BP","GO:0030575","nuclear body organization","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"56541",1
"GO:0031062","BP","GO:0031062","positive regulation of histone methylation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"319974",1
"GO:0032274","BP","GO:0032274","gonadotropin secretion","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"11480",1
"GO:0032966","BP","GO:0032966","negative regulation of collagen biosynthetic process","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"18128",1
"GO:0036035","BP","GO:0036035","osteoclast development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"723848",1
"GO:0042308","BP","GO:0042308","negative regulation of protein import into nucleus","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"15378",1
"GO:0042407","BP","GO:0042407","cristae formation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"230935",1
"GO:0045605","BP","GO:0045605","negative regulation of epidermal cell differentiation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"18128",1
"GO:0045655","BP","GO:0045655","regulation of monocyte differentiation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"16331",1
"GO:0045683","BP","GO:0045683","negative regulation of epidermis development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"18128",1
"GO:0045725","BP","GO:0045725","positive regulation of glycogen biosynthetic process","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"20411",1
"GO:0045779","BP","GO:0045779","negative regulation of bone resorption","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"16331",1
"GO:0045945","BP","GO:0045945","positive regulation of transcription by RNA polymerase III","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"74370",1
"GO:0046322","BP","GO:0046322","negative regulation of fatty acid oxidation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"75387",1
"GO:0046549","BP","GO:0046549","retinal cone cell development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"241324",1
"GO:0048853","BP","GO:0048853","forebrain morphogenesis","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"22418",1
"GO:0051444","BP","GO:0051444","negative regulation of ubiquitin-protein transferase activity","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"67141",1
"GO:0051905","BP","GO:0051905","establishment of pigment granule localization","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"12560",1
"GO:0055012","BP","GO:0055012","ventricular cardiac muscle cell differentiation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"19130",1
"GO:0060572","BP","GO:0060572","morphogenesis of an epithelial bud","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"22418",1
"GO:0060712","BP","GO:0060712","spongiotrophoblast layer development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"14622",1
"GO:0061051","BP","GO:0061051","positive regulation of cell growth involved in cardiac muscle cell development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"11554",1
"GO:0061307","BP","GO:0061307","cardiac neural crest cell differentiation involved in heart development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"12540",1
"GO:0061430","BP","GO:0061430","bone trabecula morphogenesis","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"20377",1
"GO:0062099","BP","GO:0062099","negative regulation of programmed necrotic cell death","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"70603",1
"GO:0070571","BP","GO:0070571","negative regulation of neuron projection regeneration","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"13838",1
"GO:0097048","BP","GO:0097048","dendritic cell apoptotic process","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"76089",1
"GO:0097401","BP","GO:0097401","synaptic vesicle lumen acidification","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"108664",1
"GO:0098751","BP","GO:0098751","bone cell development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"723848",1
"GO:0098962","BP","GO:0098962","regulation of postsynaptic neurotransmitter receptor activity","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"246317",1
"GO:1900038","BP","GO:1900038","negative regulation of cellular response to hypoxia","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"13838",1
"GO:1902563","BP","GO:1902563","regulation of neutrophil activation","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"109934",1
"GO:1904294","BP","GO:1904294","positive regulation of ERAD pathway","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"13666",1
"GO:1905939","BP","GO:1905939","regulation of gonad development","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"16336",1
"GO:2000668","BP","GO:2000668","regulation of dendritic cell apoptotic process","1/479","18/28891",0.2599392343709,0.442590599932799,0.365511278506762,"76089",1
"GO:0051092","BP","GO:0051092","positive regulation of NF-kappaB transcription factor activity","4/479","156/28891",0.260029914881609,0.442590599932799,0.365511278506762,"24088/22418/12759/212085",4
"GO:0008406","BP","GO:0008406","gonad development","6/479","259/28891",0.260824028537445,0.44376163032693,0.366478368220358,"11480/20377/244486/16336/22418/17886",6
"GO:0007595","BP","GO:0007595","lactation","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"13666/11941",2
"GO:0019228","BP","GO:0019228","neuronal action potential","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"56508/20273",2
"GO:0030857","BP","GO:0030857","negative regulation of epithelial cell differentiation","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"18128/114716",2
"GO:0031424","BP","GO:0031424","keratinization","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"71529/12560",2
"GO:0060443","BP","GO:0060443","mammary gland morphogenesis","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"19206/22418",2
"GO:0060632","BP","GO:0060632","regulation of microtubule-based movement","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"71870/100048534",2
"GO:0072523","BP","GO:0072523","purine-containing compound catabolic process","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"22262/18585",2
"GO:0086001","BP","GO:0086001","cardiac muscle cell action potential","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"12289/13383",2
"GO:1902622","BP","GO:1902622","regulation of neutrophil migration","2/479","60/28891",0.262285093497742,0.44461948155961,0.367186820457872,"16177/24088",2
"GO:0043271","BP","GO:0043271","negative regulation of monoatomic ion transport","4/479","157/28891",0.263670105380334,0.446605257472886,0.368826763766654,"329152/108737/69563/225642",4
"GO:0071887","BP","GO:0071887","leukocyte apoptotic process","4/479","157/28891",0.263670105380334,0.446605257472886,0.368826763766654,"76089/58208/22418/94185",4
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","8/479","367/28891",0.265845006175185,0.446961329463492,0.369120824075542,"16331/63953/12509/13846/17973/12053/320484/12507",8
"GO:0001704","BP","GO:0001704","formation of primary germ layer","3/479","108/28891",0.266269331696722,0.446961329463492,0.369120824075542,"241324/22418/17886",3
"GO:0019751","BP","GO:0019751","polyol metabolic process","3/479","108/28891",0.266269331696722,0.446961329463492,0.369120824075542,"20280/18799/17886",3
"GO:2000243","BP","GO:2000243","positive regulation of reproductive process","3/479","108/28891",0.266269331696722,0.446961329463492,0.369120824075542,"67141/268491/22418",3
"GO:0022408","BP","GO:0022408","negative regulation of cell-cell adhesion","5/479","209/28891",0.266759196507031,0.446961329463492,0.369120824075542,"18128/228788/12053/13383/94185",5
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","7/479","314/28891",0.266819750054037,0.446961329463492,0.369120824075542,"19130/387218/67141/15574/80280/13383/225131",7
"GO:0000288","BP","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"12457/70640",2
"GO:0001974","BP","GO:0001974","blood vessel remodeling","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"16971/109934",2
"GO:0002066","BP","GO:0002066","columnar/cuboidal epithelial cell development","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"15402/22418",2
"GO:0006278","BP","GO:0006278","RNA-templated DNA biosynthetic process","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"68275/70640",2
"GO:0007004","BP","GO:0007004","telomere maintenance via telomerase","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"68275/70640",2
"GO:0007140","BP","GO:0007140","male meiotic nuclear division","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"114714/268491",2
"GO:0035924","BP","GO:0035924","cellular response to vascular endothelial growth factor stimulus","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"18128/21413",2
"GO:0097479","BP","GO:0097479","synaptic vesicle localization","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"70612/66725",2
"GO:1905953","BP","GO:1905953","negative regulation of lipid localization","2/479","61/28891",0.268441972934403,0.446961329463492,0.369120824075542,"11813/12623",2
"GO:0051402","BP","GO:0051402","neuron apoptotic process","8/479","369/28891",0.270538334467194,0.446961329463492,0.369120824075542,"12540/12704/70527/16971/72183/12759/94185/26403",8
"GO:0010660","BP","GO:0010660","regulation of muscle cell apoptotic process","3/479","109/28891",0.270752144981947,0.446961329463492,0.369120824075542,"12334/75387/68655",3
"GO:0032006","BP","GO:0032006","regulation of TOR signaling","4/479","159/28891",0.2709787525874,0.446961329463492,0.369120824075542,"433486/270802/74370/225131",4
"GO:0070507","BP","GO:0070507","regulation of microtubule cytoskeleton organization","4/479","159/28891",0.2709787525874,0.446961329463492,0.369120824075542,"17755/208177/13640/17318",4
"GO:0045137","BP","GO:0045137","development of primary sexual characteristics","6/479","263/28891",0.272015185065293,0.446961329463492,0.369120824075542,"11480/20377/244486/16336/22418/17886",6
"GO:0090257","BP","GO:0090257","regulation of muscle system process","6/479","263/28891",0.272015185065293,0.446961329463492,0.369120824075542,"18128/22065/69642/13383/18585/11554",6
"GO:0001878","BP","GO:0001878","response to yeast","1/479","19/28891",0.27221676378372,0.446961329463492,0.369120824075542,"17523",1
"GO:0002031","BP","GO:0002031","G protein-coupled receptor internalization","1/479","19/28891",0.27221676378372,0.446961329463492,0.369120824075542,"117148",1
